Common Name,Primary Genre,Combined Genres,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
Karen Lynn Williams,Children's,Children's,03/22/1972,1/1/2050,Born: 3/22/1952,"<p>Karen Lynn Williams was born on March 22, 1952, in New Haven, Connecticut. She used her Master of Arts degree in deaf education when she moved to Africa with the Peace Corps and volunteered in a school for the deaf and later taught as an English teacher. She also began writing children's books during her time in Africa, and had her first book published in 1990 after moving back to the States to Pittsburgh, Pennsylvania.</p>","Pittsburgh, PA",Allegheny County,https://www.karenlynnwilliams.com,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams%2C+Karen+Lynn"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__Karen_Lynn"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Williams__Karen_Lynn.jpg,40.443096,-79.981907,Photo Credit: Karen Lynn Williams. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://karenlynnwilliams.com/wp-content/uploads/2018/09/karenwilliams-portrait-2018.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__Karen_Lynn"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams%2C+Karen+Lynn"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.karenlynnwilliams.com/"" target=""_blank"">Personal Website</a>"
Vera B. Williams,Children's,Children's,01/28/1947,10/16/2015,1/28/1927 - 10/16/2015,"<p>Vera BakerWilliams was an author and illustrator of children's books.<strong> </strong>She was most known for her trilogy about Rosa, a young girl from a relatively poor family. She was born in Hollywood, California. Later her family lived in the Bronx in New York City. Williams studied art at the Music and Art High School in New York City, and later went on to receive her BFA in Graphic Arts from Black Mountain College. She studied at the Boston Museum School. Williams received numerous awards during her career as an author and illustrator, including two Caldecott Honors. <strong></strong></p>","Honesdale, PA",Wayne County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams,+Vera+B."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__Vera_B"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Williams__Vera_B_0.jpg,41.577412,-75.256767,"Photo Credit: Susan Kuklin. Vera B. Williams, Illustrator. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Harper Collins Publishers. Source: Online Resource. Source: https://i.harperapps.com/authors/19040/x300.jpg.",,"Honesdale, PA | Wayne County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__Vera_B"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams,+Vera+B."" target=""_blank"">PSU Catalog Link</a>"
Eleanor Wilner,Poetry,Poetry,07/29/1957,1/1/2050,Born: 7/29/1937,"<p>Eleanor Wilner is a poet and a lifelong activist for civil rights and peace. She has written several poetry collections, including the Juniper Prize-winning <em> Maya </em>(1979)and <em>Tourist in Hell</em> (2010). She has an interdepartmental PhD from Johns Hopkins University and teaches peripatetically at such universities as Temple University, University of Chicago, Northwestern University, and the MFA Program for Writers at Warren Wilson College. Her articles and reviews have appeared in countless newspapers and magazines.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilner%2C+Eleanor"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilner__Eleanor"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wilner__Eleanor_Rand.jpg,39.945874,-75.16454,"Photo Credit: Copper Canyon Press. Photograph of Eleanor Wilner. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://www.poets.org/sites/default/files/styles/286x289/public/images/biographies/EleanorWilner_NewBioImage.png?itok=axvjENKs.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilner__Eleanor"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilner%2C+Eleanor"" target=""_blank"">PSU Catalog Link</a>"
Alexander Wilson,Nonfiction,Nonfiction | Poetry,07/06/1786,8/23/1813,7/6/1766 - 8/23/1813,"<p>Alexander Wilson was born in a thriving Scottish town named Paisley. In 1794, Wilson left Scotland with his nephew aboard a ship to America, where they landed two months later. Wilson's primary residence was Philadelphia, Pennsylvania, from where nearly all of his excursions originated and ended. Wilson traversed many explored and previously unexplored territories, documenting America's native bird species. Wilson wrote and illustrated <em>American Ornithology,</em> which was the first book to document the native bird species of America.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilson%2C+Alexander%2C+1766-1813"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilson__Alexander"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wilson__Alexander.jpg,39.934133,-75.143983,"Photo Credit: Brent Wahl. Photograph of a Portrait of Alexander Wilson (oil on wood, 23 1/4 x 22 inches), probably painted by Thomas Sully, 1809-13. Portrait. Licensed under Fair Use. Cropped to 4x3. Source: American Philosophical Society. Source: Online Resource. Philadelphia.Source: http://www.phmc.state.pa.us/portal/communities/pa-heritage/images/alexander_wilson_portrait_thomas_sully.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilson__Alexander"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilson%2C+Alexander%2C+1766-1813"" target=""_blank"">PSU Catalog Link</a>"
Edmund Wilson,Nonfiction,Nonfiction,05/08/1915,6/12/1972,5/8/1895 - 6/12/1972,"<p>Literary critic and author Edmund Wilson was born in Red Bank, New Jersey, in 1895. His father was a prominent attorney who served as New Jersey's attorney general. Wilson attended the Hill in Pottstown, Pennsylvania, a preparatory school for boys, before attending Princeton University. Wilson also served briefly in the military. Wilson married for the fourth time to Elena Mum Thornton, with whom he spent the remainder of his years. In 1972, Wilson died in Talcottville, New Jersey, from complications of stroke.</p>","Pottstown, PA",Montgomery County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilson%2C+Edmund%2C+1895-1972"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilson__Edmund"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wilson__Edmund.jpg,40.247843,-75.629391,Photo Credit: NYPL Digital Gallery. Photograph of Edmund Wilson. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/8/8c/Edmund_Wilson.jpg.,,"Pottstown, PA | Montgomery County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilson__Edmund"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilson%2C+Edmund%2C+1895-1972"" target=""_blank"">PSU Catalog Link</a>"
August Wilson,Screenwriting / Playwriting,Screenwriting / Playwriting,04/27/1965,10/2/2005,4/27/1945 - 10/2/2005,"<p>Born in poverty in the Hill district of Pittsburgh, August Wilson was one of the most accomplished African-American playwrights of this century and was one of only seven to win the Pulitzer Prize. He dedicated his career to documenting the 20th-century struggles of African-Americans, decade by decade, in a cycle of ten plays. He completed the cycle shortly before he died of liver cancer on October 2, 2005.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilson%2C+August"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilson__August"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wilson__August.jpg,40.44531,-79.98558,"Photo Credit: The Huntington. August Wilson, playwright. 20 Dec 2011. Photograph. Licensed under CC BY-NC 2.0. Cropped to 4x3. Source: Flickr. Boston, MA.Source: https://www.flickr.com/photos/huntingtontheatreco/6544711239/in/photostream/.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilson__August"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilson%2C+August"" target=""_blank"">PSU Catalog Link</a>"
Katharine Wireman,Children's,Children's,10/30/1898,4/23/1966,10/30/1878 - 4/23/1966,"<p>Katharine Wireman's illustration career spanned over 50 years and included publication in nationally recognized magazines and advertising campaigns, children's books, and other widely distributed printed materials. With unwavering success throughout the years, she became the sole financial supporter of her family, notable for a woman of her time. A mother, wife, and active community member, Wireman's accomplishments and work continue to be admired today. After devoting over 15 of her final years to volunteerism, Wireman died at age 87 in April of 1966.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wireman%2C+Katharine+Richardson%2C+1878-1966"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wireman_Katharine"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wireman__Katharine.jpg,39.945816,-75.154424,Photo Credit: The Country Gentleman Cover Illustration. 8 Nov 1924. Cover Copy. Licensed under Fair Use. Cropped to 4x3. Source: Curtis Pulbishing Company. Source: Online Resource. Philadelphia.Source: https://images.findagrave.com/photos/2009/16/24791533_123225147600.jpg.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wireman_Katharine"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wireman%2C+Katharine+Richardson%2C+1878-1966"" target=""_blank"">PSU Catalog Link</a>"
Yolanda Wisher,Poetry,Poetry,01/01/1996,1/1/2050,Born: 1976,"<p><strong>Photo Credit: </strong>Dorevabelfiore. ""<a href=""https://upload.wikimedia.org/wikipedia/commons/7/7a/Yolanda_Wisher_speaks_at_Temple_University_Libraries_October_2016.jpg"">Yolanda Wisher, poet laureate of Philadelphia, speaks at a poetry reading at Temple University Libraries Paley Library.</a>"" 20 Oct 2016. Photograph. Licensed under <a href=""https://creativecommons.org/licenses/by-sa/4.0"">CC BY-SA 4.0</a>. Cropped to 4x3. Source: Wikimedia Commons. Temple University Libraries.</p>","North Wales, PA",Montgomery County,https://www.yolandawisher.com/,,,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wisher__Yolanda.jpg,40.208894,-75.27618,"Photo Credit: Dorevabelfiore. Yolanda Wisher, poet laureate of Philadelphia, speaks at a poetry reading at Temple University Libraries Paley Library. 20 Oct 2016. Photograph. Licensed under CC BY-SA 4.0. Cropped to 4x3. Source: Wikimedia Commons. Temple University Libraries.Source: https://upload.wikimedia.org/wikipedia/commons/7/7a/Yolanda_Wisher_speaks_at_Temple_University_Libraries_October_2016.jpg.",,"North Wales, PA | Montgomery County","<a href=""https://www.yolandawisher.com/"" target=""_blank"">Personal Website</a>"
Susan Wojciechowski,Children's,Children's,01/01/1964,1/1/2050,Born: 1944,"<p>Born in Rochester, New York, Susan Wojciechowski attended Nazareth College to become a public school teacher, librarian, and a freelance writer.She began writing books for children and teenagers in 1987, with several of her works following the young girl Beany, inspired by Wojciechowski's daughter.</p>","York, PA",York County,http://www.susanwoj.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wojciechowski%2C+Susan"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wojciechowski__Susan"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wojciechowski__Susan.jpg,39.852006,-76.929663,Photo Credit: Book Signing. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://www.susanwoj.com/Photo%20Susan-glossy.jpg.,,"York, PA | York County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wojciechowski__Susan"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wojciechowski%2C+Susan"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.susanwoj.com/"" target=""_blank"">Personal Website</a>"
Marvin Wolfgang,Nonfiction,Nonfiction,11/14/1944,4/17/1998,11/14/1924 - 4/17/1998,"<p>Marvin E. Wolfgang was born in Millersburg, Pennsylvania in 1924. After earning his doctoratefrom the University of Pennsylvania, Wolfgang remained at the University as a professor for an additional 45 years. He went on to write numerous books and articles focusing on homicide, delinquency, and violence. His first work, <em>Patterns in Criminal Homicide </em>(1958)<em>,</em> won him the Fulbright and Guggenheim fellowships and allowed him to travel to Europe. His most famous work, though, was his 1972 <em>Delinquency in a Birth Cohort.</em> After his death in 1998, Marvin Wolfgang is still considered one of the most influential criminologists of all time.</p>","Millersburg, PA",Dauphin County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wolfgang%2C+Marvin+E.+(Marvin+Eugene)%2C+1924-1998"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wolfgang__Marvin"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wolfgang__Marvin_E.jpg,40.539529,-76.96081,"Photo Credit: Upenn Almanac. Marvin Wolfgang, World Leader in Criminology. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://almanac.upenn.edu/archive/v44/n30/wolfgang.gif.",,"Millersburg, PA | Dauphin County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wolfgang__Marvin"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wolfgang%2C+Marvin+E.+(Marvin+Eugene)%2C+1924-1998"" target=""_blank"">PSU Catalog Link</a>"
Judy Wolfman,Children's,Children's,07/25/1953,1/1/2050,Born: 7/25/1933,"<p>Judy Wolfman was born on July 25, 1933 in Washington, DC. She obtained dual degrees at the Pennsylvania State University. Wolfman then began teaching at several schools in Pennsylvania and she began writing. She wrote her first play during this time, <em>Red vs. the Wolf </em>(1988). Only after Wolfman retired in 1993 did her writing career really take off. Judy Wolfman followed this play with a <em>Life on a Farm</em>(2000) series and a book titled <em>How and Why Stories for Readers Theatre </em>(2004)<em>.</em> At the time of this writing, Wolfman continues to teach storytelling andwriting at schools, libraries, and various conferences. </p>","York, PA",York County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wolfman%2C+Judy"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wolfman__Judy"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wolfman__Judy_B.jpg,39.968169,-76.73505,Photo Credit: Photograph of Judy Wolfman. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://www.judybwolfman.com/images/judy-wolfman.png.,,"York, PA | York County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wolfman__Judy"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wolfman%2C+Judy"" target=""_blank"">PSU Catalog Link</a>"
